,Aspen,longitude,lattitude
145,1,-107.195123,37.29882362
6072,1,-106.5145827,40.38637513
633,1,-104.7359796,37.29280845
1317,1,-107.1278942,41.00205916
15809,1,-106.0831306,39.73685518
13830,1,-106.19048,40.1525979
14057,1,-105.6651163,39.55577224
2208,1,-107.2694259,38.73487073
3188,1,-106.3365092,37.14702047
8796,1,-107.4571094,40.924544
14008,1,-107.1444246,38.01738035
8518,1,-107.8351981,39.15304996
6147,1,-108.1350887,37.53346269
1431,1,-107.1339746,39.05294467
775,1,-104.9170902,37.46774062
18849,1,-105.6058604,40.99807826
10540,1,-104.9198615,39.04886248
724,1,-106.4205546,35.90795647
21264,1,-106.5925342,41.67106983
9310,1,-108.611056,38.61910241
15769,1,-106.2005289,39.69166419
7228,1,-106.0485072,40.11333579
7938,1,-104.9684108,39.18555758
4141,1,-105.7086846,35.81148701
4086,1,-105.3325464,37.73472398
4112,1,-106.3929798,38.00987741
18172,1,-105.3995188,42.24672105
14739,1,-106.8879488,36.14741764
12409,1,-107.3523714,40.32861355
13585,1,-107.315285,40.73218149
2814,1,-108.0930721,38.13658924
14910,1,-106.1116877,38.5217522
4592,1,-107.3236642,37.90693589
19169,1,-105.6692523,38.04087795
15060,1,-106.3466137,38.70376836
7468,1,-105.6725854,38.00779808
2556,1,-105.3469754,39.16419654
18855,1,-106.3296334,38.95388089
2275,1,-107.0915852,39.9571704
7073,1,-106.8314132,39.2079586
890,1,-105.2778035,38.59659047
4018,1,-107.2140552,37.26199286
19721,1,-107.2440034,37.79817241
4975,1,-107.542028,40.07723039
93,1,-107.187897,39.21790816
4611,1,-106.9190615,40.86844187
11436,1,-107.0804143,38.65522638
6419,1,-105.4521925,41.21137588
19234,1,-106.8263141,40.44005462
13347,1,-105.264661,36.95481397
9293,1,-106.321327,42.61466034
63,1,-105.647959,40.19510553
7822,1,-105.3580977,39.84741868
5158,1,-106.7747473,40.7903665
14738,1,-107.4889709,39.1366286
1911,1,-105.7921204,36.00577744
7992,1,-107.823814,39.23740269
4334,1,-108.1002667,38.04796858
9882,1,-107.4886649,39.19468687
2558,1,-107.1961625,39.04042
283,1,-105.589018,36.19876259
21106,1,-106.2534111,40.97488957
17274,1,-105.8818948,39.66878586
4693,1,-105.6666127,42.56481429
2978,1,-106.9956038,40.91583423
21298,1,-106.9722098,38.07746025
1548,1,-107.1535314,41.0923889
3212,1,-105.301758,39.99854311
14620,1,-105.8675393,40.30582764
4432,1,-105.3590682,36.64909251
18537,1,-105.5177885,36.73388292
4631,1,-107.2376395,40.32040303
13631,1,-106.1899954,42.57021142
12454,1,-107.5940993,38.07709588
11327,1,-106.9223929,40.8810774
2409,1,-105.9961,40.00078466
16704,1,-108.4340636,37.72026346
11746,1,-107.3502378,37.36428488
13659,1,-105.4754699,37.77626151
9744,1,-105.0285272,37.24016215
2951,1,-108.4259573,37.80568667
19558,1,-105.5845773,40.63144905
14082,1,-107.7747935,37.4667221
3173,1,-107.7726262,39.36408595
5495,1,-106.6794904,36.04469131
7829,1,-106.853479,39.7427721
7429,1,-105.7887022,38.55023236
16558,1,-106.5514588,37.38470137
2667,1,-106.4401595,41.1228409
11190,1,-107.5649913,38.94397193
1387,1,-107.2139262,39.16667835
135,1,-106.4023996,39.8491193
19572,1,-106.2763295,36.91598109
3775,1,-105.6678079,39.4542211
10431,1,-107.2500302,39.61366013
8937,1,-108.3340438,37.60009285
701,1,-107.4678984,37.50230615
10846,1,-107.140265,38.23018688
1091,1,-107.8982798,39.38550741
13777,1,-104.6494115,36.94075036
5587,1,-104.3989402,36.95786352
1894,1,-107.0190827,40.73591707
19687,1,-104.6914469,36.83940611
